,Year,DistrictNew,Code,LocationNew,Robbery,Street_robbery,Injury,Agg_assault,Threat,Theft,Car,From_car,Bike,Burglary,Fire,Arson,Damage,Graffiti,Drugs,Local
383,2018,CharlottenburgWilmersdorf,40305,Mierendorffplatz,7,3,158,35,75,847,19,129,126,27,11,10,121,21,50,398
384,2012,Reinickendorf,123012,Nord2WaidmannslustWittenauLbars,38,12,332,79,115,1464,30,256,195,110,16,4,356,81,103,672
385,2018,Neuklln,80308,Gropiusstadt,55,32,399,95,149,1881,52,244,101,67,14,3,337,26,48,1258
386,2018,Mitte,19900,BezirkMinichtzuzuordnen,51,42,250,74,88,2226,26,258,159,0,4,3,166,25,175,592
387,2015,FriedrichshainKreuzberg,20506,FrankfurterAlleeNord,28,15,320,95,78,2113,53,134,396,60,39,18,554,135,71,1069
388,2015,CharlottenburgWilmersdorf,40306,OttoSuhrAllee,43,25,397,95,123,2552,28,261,404,95,15,6,383,42,75,1081
389,2014,TreptowKpenick,90415,AltstadtKietz,2,1,84,9,22,255,11,59,53,7,11,6,90,8,3,181
390,2019,Pankow,30304,Karow,4,4,81,9,41,369,6,53,93,47,6,4,101,30,21,176
391,2017,SteglitzZehlendorf,60101,Schlostr,25,16,181,29,71,2405,35,152,348,36,15,2,209,44,45,434
392,2019,CharlottenburgWilmersdorf,40411,Grunewald,15,8,133,19,70,783,31,242,86,117,9,2,264,114,21,419
393,2019,CharlottenburgWilmersdorf,40412,Schmargendorf,9,7,84,13,38,676,29,144,93,70,8,3,117,22,16,252
394,2014,Reinickendorf,129900,BezirkRdnichtzuzuordnen,20,15,75,15,52,1032,19,140,67,1,5,1,21,0,46,201
395,2018,Pankow,30202,BlankenfeldeNiederschnhausen,10,6,124,15,46,800,28,134,200,40,8,4,153,20,16,309
396,2016,Mitte,10221,MoabitWest,103,57,717,222,189,3146,51,511,468,138,45,18,576,71,642,1617
